Code,Label,MX
15029,Chicoloapan,X
15030,Chiconcuac,X
15031,Chimalhuacan,X
15032,Donato Guerra,X
15033,Ecatepec de Morelos,X
15034,Ecatzingo,X
15035,Huehuetoca,X
Code,Label,MX
,,2000
15036,Hueypoxtla,X
15037,Huixquilucan,X
15038,Isidro Fabela,X
15039,Ixtapaluca,X
15040,Ixtapan de la Sal,X
15041,Ixtapan del Oro,X
15042,Ixtlahuaca,X
15043,Xalatlaco,X
15044,Jaltenco,X
15045,Jilotepec,X
15046,Jilotzingo,X
15047,Jiquipilco,X
15048,Jocotitlan,X
15049,Joquicingo,X
15050,Juchitepec,X
15051,Lerma,X
15052,Malinalco,X
15053,Melchor Ocampo,X
15054,Metepec,X
15055,Mexicaltzingo,X
15056,Morelos,X
15057,Naucalpan de Juarez,X
15058,Nezahualcoyotl,X
15059,Nextlalpan,X
15060,Nicolas Romero,X
Code,Label,MX
,,2000
15061,Nopaltepec,X
15062,Ocoyoacac,X
15063,Ocuilan,X
15064,"Oro, El",X
15065,Otumba,X
15066,Otzoloapan,X
15067,Otzolotepec,X
15068,Ozumba,X
15069,Papalotla,X
15070,"Paz, La",X
15071,Polotitlan,X
15072,Rayon,X
15073,San Antonio la Isla,X
15074,San Felipe del Progreso,X
15075,San Martin de las Piramides,X
15076,San Mateo Atenco,X
15077,San Simon de Guerrero,X
15078,Santo Tomas,X
15079,Soyaniquilpan de Juarez,X
15080,Sultepec,X
15081,Tecamac,X
15082,Tejupilco,X
15083,Temamatla,X
15084,Temascalapa,X
15085,Temascalcingo,X
Code,Label,MX
,,2000
15086,Temascaltepec,X
15087,Temoaya,X
15088,Tenancingo,X
15089,Tenango del Aire,X
15090,Tenango del Valle,X
15091,Teoloyucan,X
15092,Teotihuacan,X
15093,Tepetlaoxtoc,X
15094,Tepetlixpa,X
15095,Tepotzotlan,X
15096,Tequixquiac,X
15097,Texcaltitlan,X
15098,Texcalyacac,X
15099,Texcoco,X
15100,Tezoyuca,X
15101,Tianguistenco,X
15102,Timilpan,X
15103,Tlalmanalco,X
15104,Tlalnepantla de Baz,X
15105,Tlatlaya,X
15106,Toluca,X
15107,Tonatico,X
15108,Tultepec,X
15109,Tultitlan,X
15110,Valle de Bravo,X
Code,Label,MX
,,2000
15111,Villa de Allende,X
15112,Villa del Carbon,X
15113,Villa Guerrero,X
15114,Villa Victoria,X
