"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H0","484","Mexico","28","MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT M","840","United States",1991,1991,"CMT","AHS",16,14.21,4.2,0,20,618,0,227,707559.819,
"I3","H0","484","Mexico","28","MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT M","840","United States",1991,1991,"CMT","MFN",16,14.21,4.2,0,20,618,0,227,707559.819,
"I3","H0","484","Mexico","28","MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT M","840","United States",1995,1995,"CMT","AHS",8.2,6.5,5.86,0,20,543,0,60,2968012.016,
"I3","H0","484","Mexico","28","MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT M","840","United States",1995,1995,"CMT","MFN",15.86,12.95,4.46,0,20,543,0,180,2968012.016,
"I3","H0","484","Mexico","28","MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT M","840","United States",1995,1995,"CMT","PRF",8.04,6.47,5.81,0,20,,,57,2960076.016,
"I3","H0","484","Mexico","29","MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.","840","United States",1991,1991,"CMT","AHS",13.63,14.11,4.19,10,20,1659,0,419,3409101.204,
"I3","H0","484","Mexico","29","MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.","840","United States",1991,1991,"CMT","MFN",13.63,14.11,4.19,10,20,1659,0,419,3409101.204,
"I3","H0","484","Mexico","29","MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.","840","United States",1995,1995,"CMT","AHS",3.68,4.92,5.51,0,20,1398,0,58,4588488.992,
"I3","H0","484","Mexico","29","MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.","840","United States",1995,1995,"CMT","MFN",10.03,11.46,7.39,0,20,1398,0,345,4588488.992,
"I3","H0","484","Mexico","29","MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.","840","United States",1995,1995,"CMT","PRF",3.69,4.93,5.51,0,20,,,58,4587300.992,
