munic,RTC_mex00,RTC_us00,RTC2_mex00,RTC2_us00,RTC_HM16_us00
484014072,-.1116870397236198,-.0626455221208744,-.1090428896714002,-.0582780582481064,-.0384188546158839
484014073,-.099707378731182,-.0514020842547325,-.1028162615548354,-.0548599979447317,-.0321276236185213
484014074,-.1008642547738532,-.0443915036448743,-.1012416055309586,-.046790564476396,-.0252981520688991
484014075,-.1102791205048561,-.0497829644009471,-.1066627968102694,-.0473335073329508,-.0243445910691662
484014076,-.0959452926181257,-.0291139860637486,-.0956101748161018,-.02890144783305,-.0178209613077343
484014077,-.1040842351492302,-.0457144932624942,-.102639466553228,-.0462464543816168,-.0256724513656081
484014078,-.1015537982893875,-.0780746963191632,-.1065386078043957,-.0751342447656498,-.0586301818044035
484014079,-.1187345701260512,-.0340388325702179,-.1062748262338573,-.036108572370722,-.0176223870992089
484014080,-.1018016169546172,-.0455733538838103,-.1017388339387253,-.0453883013688028,-.026474577607587
484014081,-.1061366219073534,-.062292511574924,-.1031663930043578,-.0507595259696245,-.0303959086304531
484014082,-.1089219008303273,-.047197230693147,-.107054524065461,-.0471051857330167,-.0230365518320923
484014083,-.0962765561380365,-.0507682558769602,-.0991418683370284,-.0523629837575754,-.0205604026168658
484014084,-.1025937384401914,-.0441358587713694,-.1038993129041046,-.043832215373186,-.0227247502571117
484014085,-.0942629369310453,-.0458309037458093,-.0969122335591237,-.0452011061997837,-.0212135214825366
484014086,-.1119059489574283,-.0470172437781002,-.1093946105684154,-.0372999299579533,-.0189562743911438
484014087,-.092234767973423,-.042140836128965,-.0940861618291819,-.0447359631871223,-.0167288248557043
484014088,-.1047998778012698,-.0423290746621205,-.104429412225727,-.0446159899693157,-.0249873481825489
484014089,-.1097951721862955,-.0474066239222566,-.1067857676534914,-.0456300034711603,-.0233691752819141
484014090,-.1024091599974781,-.0443022979306988,-.1005890998058021,-.0443348974222317,-.0245631406432949
484014091,-.1109224551619263,-.0571829852342489,-.1089315587014426,-.0588800792829716,-.0358038452438905
484014092,-.1074504026619252,-.0472857501226827,-.1039868021034636,-.0452483385015512,-.0237183141948663
484014093,-.1021475140696566,-.0494420091454231,-.1027450893634523,-.0517803425756256,-.0304859540230211
484014094,-.0992940278537162,-.0298985768703801,-.0995055043895263,-.0358683051272237,-.0210107922601992
484014095,-.0992199501894788,-.0444833193749048,-.1006192796339747,-.0452887224164442,-.0242239584240451
484014096,-.1036291384953074,-.0440196509152884,-.1027605632843915,-.0423960794832965,-.0233048665668321
484014097,-.1130415046609414,-.0576480472495859,-.1117850952978188,-.0574089101007758,-.0302351543015646
484014098,-.1138995341707414,-.0551217983734205,-.1130491065632668,-.0568604465989324,-.030273827569971
484014099,-.1012360794115921,-.0499087414788164,-.1017065972555429,-.0472035657730885,-.026156822043049
484014100,-.1048821450094692,-.0450496220882997,-.1031527067971183,-.0438491003492345,-.0247234145642778
484014101,-.1130190095444732,-.0598363085085794,-.1168392713625508,-.0613485774614446,-.0334162776672429
484014102,-.0974519019946456,-.0387002390343696,-.0988635368412361,-.0390968063184118,-.024374603734941
484014103,-.104897692144732,-.0457813517859904,-.101785403676331,-.0461818237381522,-.0207342198827973
484014104,-.100709299556911,-.0444839540868998,-.1015992272878066,-.0461250235093758,-.0266983752080705
484014105,-.1063617727777455,-.04904178700599,-.1022309221953037,-.0455686069362855,-.0265694180587843
484014106,-.1017066234489903,-.0454243579879403,-.1018747896887362,-.0459818143863231,-.0267820777371526
484014107,-.1064675636007451,-.029440045604133,-.1062939101830125,-.038791437043983,-.022197074883934
484014108,-.0846180885273498,-.0281848775789513,-.0877322561791516,-.0376065161258339,-.0122575622825138
484014109,-.0962767254677601,-.0533973188721575,-.1001411912729964,-.0559284553601174,-.0394324746107486
484014110,-.0972684439766454,-.0436422017528457,-.1008895149425371,-.0414794686494133,-.0218122424173544
484014111,-.098981999210082,-.0483561745495535,-.0995266655227169,-.0507317815790884,-.0310401746537536
484014112,-.101548024918884,-.0462185784708709,-.1016551752109081,-.0463801366277039,-.0268341874179896
484014113,-.1046705949993338,-.0439093503955519,-.1027754840906709,-.0449337747631944,-.021900172901951
484014114,-.1022367990517523,-.0475794334333841,-.1013433657644782,-.0466066124699864,-.0248079112780033
484014115,-.1061286443145946,-.044888445554534,-.1022604879108258,-.0463918164168717,-.0238916784064713
484014116,-.1117071696207859,-.0747225627419539,-.1103699827508535,-.0736527640274289,-.0546229874695428
484014117,-.1267697019502521,-.0715180556289852,-.1052701126318425,-.0552171926392475,-.0359932733445021
484014118,-.1076341514708474,-.047045183575392,-.102167317585554,-.0457469579996541,-.0220325423993017
484014119,-.1104009880509693,-.0489492194792547,-.1089946683496237,-.0465059815264794,-.0217433183684079
484014120,-.1146997366186042,-.0533908494610387,-.1126840160668508,-.0576213025909738,-.0310593435925171
484014121,-.100512146789697,-.0368944527654094,-.1026184478105279,-.0382150023997383,-.0191975825249529
484014122,-.1067838072776794,-.0482551164459437,-.1051269418094307,-.0455210501677357,-.0238336789157074
484014123,-.1022484779095976,-.0516664935057634,-.100227240822278,-.047800875880057,-.029235661317216
484014124,-.0793345793499611,-.0736553471294883,-.1055208518155268,-.0679593827844656,-.0490120709540633
484015001,-.1025778104158235,-.0461529435397097,-.1026024794919067,-.0469426587826547,-.0259535701105733
484015002,-.1149482994587743,-.0489770379167567,-.1110274519087398,-.0551284026823851,-.0294789528537933
484015003,-.1094241894170409,-.0744430225258839,-.1056142179513699,-.0629797852252523,-.0467977615617201
484015004,-.1055520072113723,-.0568256018450484,-.1054930789396167,-.0527227081311139,-.0338344802585198
484015005,-.1070674061920727,-.0453462086436502,-.1048333133512642,-.0464424355880055,-.0243352353291755
484015006,-.1205331028322689,-.1007416174179525,-.118843617674429,-.0953003280737903,-.0725262258984003
484015007,-.1080378356273286,-.0439130723243579,-.1029920544824563,-.0440911357418372,-.0245336264742946
484015008,-.1080165284847681,-.0492462216776346,-.1019202235620469,-.045658900122362,-.0261066445273173
484015009,-.1044580277957721,-.0522399145233976,-.1035111577584758,-.0509745354193001,-.0283768147885439
484015010,-.0911637893841544,-.0160694350452104,-.0943920101417461,-.0227078992320457,-.0097151734956356
484015011,-.1118814842582196,-.0543875279611825,-.1118717904028017,-.0592176948829888,-.032608425832116
484015012,-.1193658162665088,-.0934403414066765,-.1142153540276922,-.0805472251377068,-.0616923942106951
484015013,-.1099887723266875,-.0391066129594151,-.1093012382552843,-.0473691278812112,-.0244798117773612
