hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
74032100	90	"Copper-zinc base alloys (brass), unwrought nesoi"	"kilograms"	""			.01	.01	0	0	"A*"	"PE"	"ZM"			""	""	"CA"		.006	.006	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				2.85799
74032200	90	"Copper-tin base alloys (bronze), unwrought nesoi"	"kilograms"	""			.01	.01	0	0	"A*"	"PE"	"ZM"			""	""	"CA"		.006	.006	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				2.32674
74032300	90	"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), unwrought nesoi"	"kilograms"	""			.01	.01	0	0	"A*"	"PE"	"ZM"			""	""	"CA"		.006	.006	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				4.97635
74032900	90	"Copper alloys (o/than copper-zinc, copper-tin, copper-nickel(cupro-nickel) or copper-nickel-zinc base alloys, unwrought nesoi"	"kilograms"	""			.01	.01	0	0	"A*"	"PE"	"ZM"			""	""	"CA"		.006	.006	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				2.29289
74040000	90	"Copper waste and scrap"	"kilograms"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											.06	.06	0	0				1.99882
74050010	90	"Copper master alloys, containing 5% or more but n/more than 15% by weight of phosphorus"	"kilograms"	""			.026	.026	0	0	"A"	""	""			""	""	"CA"		.015	.015	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.12	.12	0	0				3.02824
74050060	90	"Copper master alloys, not containing 5% or more but n/more than 15% by weight of phosphorus"	"kilograms"	""			.06	.06	0	0	"A"	""	""			""	""	"CA"		.036	.036	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.28	.28	0	0				9.12889
74061000	90	"Copper, powders of non-lamellar structure"	"kilograms"	""			.054	.054	0	0	"A"	""	""			""	""	"CA"		.043	.043	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.49	.49	0	0				5.40747
74062000	90	"Copper, powders of lamellar structure; copper flakes"	"kilograms"	""			.03	.03	0	0	"A"	""	""			""	""	"CA"		.024	.024	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.12	.12	0	0				6.67632
74071010	90	"Profiles of refined copper"	"kilograms"	""			.063	.063	0	0	"A"	""	""			""	""	"CA"		.05	.05	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.48	.48	0	0				4.63998
74071050	90	"Refined copper, bars and rods"	"kilograms"	""			.01	.01	0	0	"A"	""	""			""	""	"CA"		.008	.008	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.07	.07	0	0				3.29462
74072110	90	"Profiles of copper-zinc base alloys (brass)"	"kilograms"	""			.032	.032	0	0	"A"	""	""			""	""	"CA"		.025	.025	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.17	.17	0	0				4.59497
74072150	90	"Copper-zinc base alloys (brass), low fuming brazing rods"	"kilograms"	""			.022	.022	0	0	"A"	""	""			""	""	"CA"		.017	.017	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				2.89982
74072170	90	"Copper-zinc base alloys (brass), bars & rods nesoi, having a rectangular cross section"	"kilograms"	""			.019	.019	0	0	"A"	""	""			""	""	"CA"		.015	.015	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				2.84985
74072190	90	"Copper-zinc base alloys (brass), bars & rods nesoi, not having a rectangular cross section"	"kilograms"	""			.022	.022	0	0	"A"	""	""			""	""	"CA"		.017	.017	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				2.59813
