UNCode	Country_UN	Program1989	Program1990	Program1991	Program1992	Program1993	Program1994	Program1995	Program1996	Program1997	Program1998	Program1999	Program2000	Program2001		Program Code	Description
533000	GREECE	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
223040	GREENLD	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	MFN	MFN	MFN	MFN
353120	GUADLPE	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
343200	GUATMALA	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
163240	GUINEA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
363280	GUYANA	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
353320	HAITI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
343400	HONDURA	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
453440	HONGKONG	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
583480	HUNGARY	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
553520	ICELAND	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
453560	INDIA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
453600	INDONES	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
443640	IRAN													
443680	IRAQ													
533720	IRELAND	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
413760	ISRAEL	ISR	ISR	ISR	ISR	ISR	ISR	ISR	ISR	ISR	ISR	ISR	ISR	ISR
533800	ITALY	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
