"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1998,1998,"CMT","BND",35,35,0,35,35,1,0,1,582.976,100
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1998,1998,"CMT","MFN",5,5,5,0,10,2,0,0,582.976,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1999,1999,"CMT","AHS",6.5,6.5,6.5,0,13,3,0,0,615.462,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1999,1999,"CMT","BND",35,35,0,35,35,1,0,1,615.462,100
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1999,1999,"CMT","MFN",8,8,5,3,13,3,0,0,615.462,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1999,1999,"CMT","PRF",6.5,6.5,6.5,0,13,3,,0,615.462,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2000,2000,"CMT","AHS",8,8,5,3,13,2,0,0,606.846,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2000,2000,"CMT","BND",35,35,0,35,35,1,0,1,606.846,100
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2000,2000,"CMT","MFN",8,8,5,3,13,2,0,0,606.846,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2001,2001,"CMT","AHS",8,8,5,3,13,2,0,0,762.781,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2001,2001,"CMT","BND",35,35,0,35,35,1,0,1,762.781,100
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2001,2001,"CMT","MFN",8,8,5,3,13,2,0,0,762.781,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2002,2002,"CMT","AHS",0,0,0,0,0,2,0,0,376.745,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2002,2002,"CMT","BND",35,35,0,35,35,1,0,1,376.745,100
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2002,2002,"CMT","MFN",8,8,5,3,13,2,0,0,376.745,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",2002,2002,"CMT","PRF",0,0,0,0,0,,,0,376.745,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1996,1996,"CMT","AHS",5,10,5,0,10,2,0,0,59139.774,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1996,1996,"CMT","BND",35,35,0,35,35,2,0,2,59139.774,100
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1996,1996,"CMT","MFN",5,10,5,0,10,2,0,0,59139.774,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1997,1997,"CMT","AHS",6.67,9.97,4.71,0,10,3,0,0,108578.932,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1997,1997,"CMT","BND",35,35,0,35,35,3,0,3,108578.932,100
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1997,1997,"CMT","MFN",6.67,9.97,4.71,0,10,3,0,0,108578.932,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1998,1998,"CMT","AHS",7.5,9.95,4.33,0,10,4,0,0,120577.64,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1998,1998,"CMT","BND",38.75,35,6.5,35,50,4,0,4,120577.64,100
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1998,1998,"CMT","MFN",7.5,9.95,4.33,0,10,4,0,0,120577.64,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1999,1999,"CMT","AHS",4,5.89,2.83,0,6,6,0,0,139132.71,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1999,1999,"CMT","BND",35,35,0,35,35,3,0,3,139132.71,100
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1999,1999,"CMT","MFN",9.67,12.81,4.71,3,13,6,0,0,139132.71,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",1999,1999,"CMT","PRF",4,5.89,2.83,0,6,6,,0,139132.71,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2000,2000,"CMT","AHS",9.67,12.91,4.71,3,13,3,0,0,401205.311,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2000,2000,"CMT","BND",35,35,0,35,35,3,0,3,401205.311,100
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2000,2000,"CMT","MFN",9.67,12.91,4.71,3,13,3,0,0,401205.311,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2001,2001,"CMT","AHS",9.67,12.94,4.71,3,13,3,0,0,692610.811,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2001,2001,"CMT","BND",35,35,0,35,35,3,0,3,692610.811,100
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2001,2001,"CMT","MFN",9.67,12.94,4.71,3,13,3,0,0,692610.811,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2002,2002,"CMT","AHS",0.75,0.95,0.43,0,1,4,0,0,863100.668,
