Reporter,Reporter Code,Partner Name,Partner Code,Tariff Indicator Name,Tariff Indicator Code,Product,Product Code,1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994]
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090812 -- (2012-) -- Crushed or ground,90812,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090820 -- (-2011) - Mace,90820,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090821 -- (2012-) -- Neither crushed nor ground,90821,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090822 -- (2012-) -- Crushed or ground,90822,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090830 -- (-2011) - Cardamoms,90830,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090831 -- (2012-) -- Neither crushed nor ground,90831,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090832 -- (2012-) -- Crushed or ground,90832,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090910 -- (-2011) - Seeds of anise or badian,90910,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090920 -- (-2011) - Seeds of coriander,90920,0,0,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090921 -- (2012-) -- Neither crushed nor ground,90921,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090922 -- (2012-) -- Crushed or ground,90922,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090930 -- (-2011) - Seeds of cumin,90930,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090931 -- (2012-) -- Neither crushed nor ground,90931,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090932 -- (2012-) -- Crushed or ground,90932,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090940 -- (-2011) - Seeds of caraway,90940,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090950 -- (-2011) - Seeds of fennel; juniper berries,90950,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090961 -- (2012-) -- Neither crushed nor ground,90961,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090962 -- (2012-) -- Crushed or ground,90962,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091010 -- (-2011) - Ginger,91010,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091011 -- (2012-) -- Neither crushed nor ground,91011,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091012 -- (2012-) -- Crushed or ground,91012,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091020 -- - Saffron,91020,..,..,..,0,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091030 -- - Turmeric (curcuma),91030,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091040 -- (-2006)  - Thyme; bay leaves,91040,4.166666508,..,..,4.166666508,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091050 -- (-2006)  - Curry,91050,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091091 -- -- Mixtures referred to in Note 1 (b) to this Chapter,91091,..,..,3,3,3,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,091099 -- -- Other,91099,2.625,2.625,2.625,2.625,2.625,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100110 -- (-2011) - Durum wheat,100110,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100111 -- (2012-) -- Seed,100111,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100119 -- (2012-) -- Other,100119,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100190 -- (-2011) - Other,100190,..,..,..,5.278600216,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100191 -- (2012-) -- Seed,100191,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100199 -- (2012-) -- Other,100199,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100200 -- (-2011) Rye.,100200,..,..,0,..,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100210 -- (2012-) - Seed,100210,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100290 -- (2012-) - Other,100290,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100300 -- (-2011) Barley.,100300,..,..,..,1.613830447,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100310 -- (2012-) - Seed,100310,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100390 -- (2012-) - Other,100390,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100400 -- (-2011) Oats.,100400,0,..,..,0,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100410 -- (2012-) - Seed,100410,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100490 -- (2012-) - Other,100490,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100510 -- - Seed,100510,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100590 -- - Other,100590,4.200128555,4.11082077,4.131795406,4.020573139,4.094315529,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100610 -- - Rice in the husk (paddy or rough),100610,..,..,..,..,9.992241859,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100620 -- - Husked (brown) rice,100620,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"100630 -- - Semi-milled or wholly milled rice, whether or not polished or glazed",100630,..,..,..,11.04988003,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100640 -- - Broken rice,100640,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100700 -- (-2011) Grain sorghum.,100700,6.699143887,6.55616188,6.647542,6.600605965,6.835336208,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100710 -- (2012-) - Seed,100710,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100790 -- (2012-) - Other,100790,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100810 -- - Buckwheat,100810,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100820 -- (-2011) - Millet,100820,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100821 -- (2012-) -- Seed,100821,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100829 -- (2012-) -- Other,100829,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,100830 -- - Canary seeds,100830,..,..,..,..,..,..
